State,County,Date,AQI,AQI_cat,co,ozone,no2,so2,wind,temp,humid,pressure,no
Alabama,Jefferson,2022-04-04,56,Moderate,0.3118055,0.03665683333333333,17.89375,0.57708325,6.7979164999999995,63.0833335,38.25,992.858333,8.493055666666667
Alabama,Jefferson,2022-04-05,47,Good,0.22638866666666665,0.03242166666666667,8.985417,0.16346424999999998,10.4729165,63.9375,58,984.55625,2.612499666666667
Alabama,Jefferson,2022-04-06,44,Good,0.18958316666666666,0.030206,4.935417,-0.125,9.566666999999999,68.514583,65.166667,984.9958335,2.993055666666667
Alabama,Jefferson,2022-04-12,46,Good,0.15864899999999998,0.03570566666666667,5.3169640000000005,0.1083335,11.1208335,71.1520835,55.791667,996.8479165,1.5492063333333332
Alabama,Jefferson,2022-04-13,42,Good,0.11917266666666668,0.035901666666666665,4.009318,0.00980824999999999,13.98125,71.8604165,54.375,992.0645835,0.930202
Alabama,Jefferson,2022-04-16,41,Good,0.2020835,0.0158725,6.672917,0.109375,8.5666665,63.510417000000004,78.04166649999999,995.554167,2.5930556666666664
Alabama,Jefferson,2022-04-17,45,Good,0.213889,0.027735333333333334,5.554167,-0.10833324999999999,8.35625,63.19375,77.5,993.7604165,4.270833333333334
Alabama,Jefferson,2022-04-20,54,Moderate,0.21041666666666667,0.048804,9.829167,0.475,7.6666665,61.129167,43.0625,1002.1375,6.1
Alabama,Jefferson,2022-04-22,65,Moderate,0.24703283333333334,0.033853,10.95303,-0.124513,6.1729164999999995,71.39583350000001,53.916666500000005,1005.2875,3.0098483333333332
Alabama,Jefferson,2022-04-23,48,Good,0.16319433333333333,0.0389215,3.6604164999999997,0.01041675000000003,7.3270835,73.6395835,46.541667,1000.6875,0.5166663333333333
Alabama,Jefferson,2022-04-24,52,Moderate,0.14652783333333333,0.036804166666666666,4.03125,0.1635415,7.402082999999999,73.5041665,52.375,998.852083,0.5611113333333333
Alabama,Jefferson,2022-04-25,46,Good,0.16111116666666667,0.028705833333333333,6.7229165,-0.055208500000000015,7.4583335,73.9375,57.833333499999995,998.0166664999999,2.691666666666667
Alabama,Jefferson,2022-04-30,52,Moderate,0.1694445,0.034362500000000004,4.0041665,1.06145825,9.4166665,72.39583350000001,59.375,994.1937499999999,0.5791666666666667
